,dataName,cycleNumber,region,deltaLc,forceBefore,forceAfter,lcBefore,lcAfter,maxSustainableForce,time
20,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,19,pulling,0.0,42.79484447385746,42.79484447385746,121.86263594649955,121.86263594649955,42.79484447385746,
21,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,20,pulling,0.0,42.87433716335036,42.87433716335036,120.52003574059437,120.52003574059437,42.87433716335036,
22,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,21,pulling,0.0,42.69581772924224,42.69581772924224,120.24223325297406,120.24223325297406,42.69581772924224,
23,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,22,pulling,0.0,42.904681371763026,42.904681371763026,121.97073198723834,121.97073198723834,42.904681371763026,
24,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,23,pulling,0.0,42.491242626989134,42.491242626989134,121.64136460490508,121.64136460490508,42.491242626989134,
25,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,24,pulling,0.0,42.91621529959664,42.91621529959664,127.40923020002384,127.40923020002384,42.91621529959664,
26,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,25,pulling,0.0,42.98765795703355,42.98765795703355,124.0583225983865,124.0583225983865,42.98765795703355,
27,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,26,pulling,0.0,43.03318465339635,43.03318465339635,124.11432146286248,124.11432146286248,43.03318465339635,
28,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,27,pulling,0.0,42.729630191455776,42.729630191455776,124.87597109142126,124.87597109142126,42.729630191455776,
29,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,28,pulling,0.0,42.480840884527375,42.480840884527375,123.66412912372384,123.66412912372384,42.480840884527375,
30,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,29,pulling,0.0,42.69153705424391,42.69153705424391,125.4983884345584,125.4983884345584,42.69153705424391,
31,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,30,pulling,0.0,43.324254713346576,43.324254713346576,126.05939027007905,126.05939027007905,43.324254713346576,
32,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,31,pulling,0.0,43.03483586465793,43.03483586465793,126.48326866952205,126.48326866952205,43.03483586465793,
33,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,32,pulling,0.0,42.95789896911582,42.95789896911582,125.10472980682825,125.10472980682825,42.95789896911582,
34,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,33,pulling,0.0,52.79480901753358,52.79480901753358,125.66673324272048,125.66673324272048,52.79480901753358,
35,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,34,pulling,0.0,62.326897195930435,62.326897195930435,126.4675846752767,126.4675846752767,62.326897195930435,
36,20210831-142216 20210831_dmMBP_1uMK_200nMJ_HMK(Antoine)ATP #002,35,pulling,0.0,62.6794581224607,62.6794581224607,127.79902379695972,127.79902379695972,62.6794581224607,
